,d_avg-sim,d_avg-binding,d_n_neighbors,d_page_rank,d_features1,d_features2,d_features3,t_avg-sim,t_avg-binding,t_n_neighbors,t_page_rank,t_features1,t_features2,t_features3,Y
100231|P0DMS8,0.3951826406173209,2.696953357960883,15.0,0.0014688031551215808,0.2610511577764633,0.9021997671226768,1.1063674968426116,0.16674526479401372,4.697283761546705,0.0,0.021739130434782608,3.9048398508438775,0.022821186978509007,0.8364182790385418,
10026300|P0DMS8,0.38582094158505165,4.185325289378395,5.0,0.0019601887007740966,0.032841887810527916,0.9625869064181511,2.699712621804629,0.16674526479401372,4.697283761546705,0.0,0.021739130434782608,3.9048398508438775,0.022821186978509007,0.8364182790385418,
10049758|P0DMS8,0.3933860190208505,4.206179778583173,3.0,0.0011625712649482708,0.027074522636665904,0.9605343885592226,2.7332395831031384,0.16674526479401372,4.697283761546705,0.0,0.021739130434782608,3.9048398508438775,0.022821186978509007,0.8364182790385418,
10092041|P0DMS8,0.30285597576429335,3.222078623380076,1.0,0.001392854655618577,0.12143496594248947,0.8721113289958113,1.896678751878492,0.16674526479401372,4.697283761546705,0.0,0.021739130434782608,3.9048398508438775,0.022821186978509007,0.8364182790385418,
10108561|P0DMS8,0.43140299871240134,3.0083602675389387,8.0,0.0013092595128098062,0.124122421614043,0.8124891984031205,1.8123343127910063,0.16674526479401372,4.697283761546705,0.0,0.021739130434782608,3.9048398508438775,0.022821186978509007,0.8364182790385418,
10131882|P0DMS8,0.4073197869314976,3.212866316393867,17.0,0.001462328692537882,1.425336016594366,0.4498021587666977,0.5842074992221727,0.16674526479401372,4.697283761546705,0.0,0.021739130434782608,3.9048398508438775,0.022821186978509007,0.8364182790385418,
10144|P0DMS8,0.41692995352301876,2.57177719466161,1.0,0.0013928546556177793,0.26198679959321003,0.8801950904698359,1.0437937024569925,0.16674526479401372,4.697283761546705,0.0,0.021739130434782608,3.9048398508438775,0.022821186978509007,0.8364182790385418,
10153029|P0DMS8,0.4481336761935914,3.2339537807842724,16.0,0.0013928546556182322,1.4098029330716937,0.6086689329857995,0.5352708360745865,0.16674526479401372,4.697283761546705,0.0,0.021739130434782608,3.9048398508438775,0.022821186978509007,0.8364182790385418,
10156654|P0DMS8,0.403916363519742,3.2571821789680233,17.0,0.001462328692539396,1.5212200052997353,0.28152175772664556,0.605432070996307,0.16674526479401372,4.697283761546705,0.0,0.021739130434782608,3.9048398508438775,0.022821186978509007,0.8364182790385418,
10196060|P0DMS8,0.4441622773999494,3.1686878605090136,16.0,0.0013928546556183285,1.3191110552092642,0.7288869225928005,0.5198433253213084,0.16674526479401372,4.697283761546705,0.0,0.021739130434782608,3.9048398508438775,0.022821186978509007,0.8364182790385418,
10196517|P0DMS8,0.449205069447168,3.164515396010841,16.0,0.0013928546556182307,1.3407788543597767,0.6504155423780206,0.5354926849174867,0.16674526479401372,4.697283761546705,0.0,0.021739130434782608,3.9048398508438775,0.022821186978509007,0.8364182790385418,
10218183|P0DMS8,0.44130705756804595,3.2224386053451646,16.0,0.0013928546556183819,1.3747742727573344,0.7034706103543313,0.5143704191027648,0.16674526479401372,4.697283761546705,0.0,0.021739130434782608,3.9048398508438775,0.022821186978509007,0.8364182790385418,
10237847|P0DMS8,0.41710807085700863,3.2474486740350303,16.0,0.0013928546556179807,1.427726897338641,0.5951946115058804,0.5337550950673831,0.16674526479401372,4.697283761546705,0.0,0.021739130434782608,3.9048398508438775,0.022821186978509007,0.8364182790385418,
10238677|P0DMS8,0.4328892906331194,3.229441960046389,16.0,0.001392854655617828,1.4347340928548162,0.5292495743895114,0.5482482588313079,0.16674526479401372,4.697283761546705,0.0,0.021739130434782608,3.9048398508438775,0.022821186978509007,0.8364182790385418,
10246054|P0DMS8,0.43321773291061233,3.0291410397390055,8.0,0.0013092595128090631,0.11922362092391885,0.8108207281128736,1.8431966079143483,0.16674526479401372,4.697283761546705,0.0,0.021739130434782608,3.9048398508438775,0.022821186978509007,0.8364182790385418,
