PubChem CID,P0DMS8,P14416,P21917,P29275,P30542,P35462,Q60613
137539240,75,,,10,500,,
137539250,300,,,30,500,,
137539253,500,,,30,500,,
137539262,500,,,10,500,,
137539269,75,,,10,500,,
137539278,500,,,30,500,,
137539284,300,,,10,500,,
137539292,500,,,30,500,,
137539293,500,,,10,500,,
137539297,75,,,10,500,,
137539301,500,,,30,500,,
137539305,500,,,30,500,,
137539306,30,,,30,300,,
137539311,500,,,30,500,,
137539329,500,,,10,500,,
137539338,500,,,30,500,,
137539341,75,,,10,500,,
137539342,75,,,10,500,,
137539347,500,,,10,500,,
137539351,75,,,75,500,,
137539362,500,,,10,500,,
137539382,300,,,10,500,,
137539384,300,,,10,500,,
137539391,75,,,10,500,,
137539397,500,,,30,500,,
137539398,30,,,30,500,,
137539409,500,,,10,500,,
137539417,500,,,30,500,,
137539422,500,,,10,500,,
137539440,500,,,10,500,,
137539459,500,,,10,75,,
137539465,500,,,30,500,,
137539475,500,,,10,500,,
137539478,500,,,30,500,,
137539482,500,,,30,500,,
137539485,75,,,10,500,,
137539488,75,,,30,500,,
137539492,500,,,30,75,,
137539494,300,,,10,500,,
137539501,500,,,10,500,,
137539504,300,,,10,500,,
137539510,30,,,30,500,,
137539512,300,,,10,500,,
137539513,500,,,10,500,,
137539525,300,,,30,500,,
137539530,500,,,10,500,,
137539546,500,,,10,500,,
137539549,75,,,30,75,,
137539559,75,,,10,500,,
137539564,75,,,30,500,,
137539573,500,,,10,500,,
137539575,30,,,10,500,,
137539590,500,,,30,500,,
137539591,500,,,10,500,,
137539592,500,,,10,500,,
137539627,500,,,10,500,,
137539632,500,,,75,500,,
137539644,500,,,30,500,,
137539649,300,,,30,500,,
137539653,75,,,30,500,,
137539654,300,,,10,500,,
137539655,300,,,10,500,,
137539656,75,,,10,500,,
137539657,300,,,30,500,,
137539674,500,,,10,500,,
137539689,500,,,30,500,,
137539697,75,,,30,500,,
137539709,75,,,10,75,,
137539717,500,,,30,500,,
137539728,500,,,10,500,,
137539730,500,,,10,500,,
137539740,500,,,30,500,,
137539744,75,,,10,75,,
137539745,75,,,10,500,,
137539748,500,,,30,500,,
137539762,300,,,30,500,,
137539777,500,,,30,500,,
137539780,300,,,30,500,,
137539783,300,,,30,500,,
142426971,104,,,884,1009,,
142426985,104,,,78.2,222,,
142426991,104,,,522,519,,
142426997,104,,,209,302,,
142427004,104,,,793,409,,
142427013,104,,,82.6,37,,
142427021,104,,,112,248,,
142427022,104,,,85.4,173,,
142540038,500,,,30,500,,
142540044,10,,,30,10,,
142540051,75,,,10,500,,
142540063,75,,,30,500,,
142540095,500,,,10,500,,
142540098,500,,,10,500,,
142540105,500,,,10,500,,
142540109,500,,,30,500,,
142540138,500,,,10,500,,
142540146,500,,,10,500,,
142540160,500,,,30,500,,
142540164,500,,,30,500,,
142540173,500,,,10,500,,
142540184,500,,,30,500,,
142540187,75,,,10,30,,
142540208,500,,,10,500,,
142540213,500,,,10,500,,
142540223,500,,,10,500,,
142540225,500,,,30,500,,
142540238,10,,,10,10,,
142540244,500,,,10,500,,
142540248,75,,,30,75,,
142540251,75,,,10,75,,
142540253,500,,,30,500,,
142540265,500,,,75,500,,
142540362,500,,,30,500,,
142540368,500,,,30,500,,
142540381,500,,,30,500,,
142540385,75,,,10,75,,
142540387,75,,,10,500,,
142540389,75,,,30,500,,
142540399,500,,,30,500,,
142540419,300,,,30,500,,
142540438,500,,,10,500,,
142540473,500,,,10,500,,
142540480,300,,,10,500,,
142540499,75,,,10,75,,
146443662,,,,12,8,,7.3
146443751,,,,241,27,,8.9
146443757,,,,399,76,,219
146490611,,,,2909,2643,,63
146490612,,,,10000,2724,,428
146490613,,,,47,110,,2.6
146490614,,,,10000,923,,76
146490615,10000,,,219,9.7,,78
146490617,,,,121,27.2,,11.2
146490619,,,,203,6.6,,58.1
146490621,,,,40.9,5.7,,0.4
146490623,,,,16.4,9.7,,0.5
146490624,,,,3804,681,,123
146490625,,,,1536,333,,224
146490626,,,,38,11.8,,3.5
146490627,,,,1724,19,,120
146490628,,,,21,3.5,,0.8
146490629,,,,12.2,7.9,,0.2
146490631,,,,408,45,,31
146490632,,,,72,18,,15
146490633,,,,38,8.6,,263
146490634,,,,235,15,,39
146490635,,,,259,9.6,,189
146490636,,,,206,6.6,,13
146490637,,,,12,24,,41
146490639,10000,,,73,23,,59
146490640,10000,,,65,42,,70
146490641,10000,,,2243,97,,18
146490642,,,,82,132,,1.3
146490643,,,,102,206,,5.1
146490644,,,,680,13,,11
146490645,,,,94,46.5,,20
146490646,10000,,,511,49,,9.6
146490647,,,,48,72,,3.5
146490648,,,,1112,779,,170
146490649,,,,80,162.5,,51
146490650,,,,146,66.7,,9.5
146490651,,,,23.3,16,,3.9
146490652,,,,93.5,67.7,,2.6
146490653,,,,80.5,42.4,,16.5
146490655,,,,44.5,71.5,,2.9
146490662,7385.5,,,2.25,22.15,,0.4
146490664,10000,,,17,21,,182
146490665,10000,,,56,10.1,,0.8
146490669,,,,2293,25,,47
146490672,,,,1631,34.1,,5.7
146490673,,,,10000,112,,245
146490674,,,,457,33,,34
146490680,,,,614,29,,12
146490826,7294,,,51.9,6.55,,0.8
146490827,,,,142,34,,36
146490828,,,,1554,37,,179
146490829,,,,3303,40,,16
146490832,,,,254,511,,24
146490834,6436.5,,,59.65,4.8,,10
146490845,,,,19,15.7,,5.4
146490850,,,,91,4.3,,5.1
146490856,10000,,,81,153,,56
146490857,,,,582,27,,88
146490858,,,,125,205,,758
146490860,,,,4794,22,,51
146490861,10000,,,303,23,,88
146490862,,,,631,12,,162
146490863,10000,,,270,78,,41
146490864,,,,2055,26,,2.9
146490865,,,,582,14.45,,30
146490867,,,,168,15.9,,12
146490869,10000,,,2951,162,,98
146490872,,,,160,16,,25
146490873,,,,173,35,,23
146490876,10000,,,29.2,6.4,,3.4
146490881,,,,6420,1146,,217
146490882,,,,10000,6935,,109
146490903,,,,45,28,,0.9
146490904,,,,9086,5323,,164
146490905,,,,68,7.4,,13
146490906,,,,102,8.9,,6.4
146490907,,,,1049,9.7,,107
146490908,,,,4.69,22,,0.3
146490930,,,,47.5,14,,1
146490973,,,,1262,1157,,324
146490975,,,,8109,264,,30.3
146490977,,,,97,13,,5.9
146490978,,,,10000,85.9,,7192
146491025,,,,51,7.2,,17
146491030,,,,253,8.8,,19
146491093,,,,122,13.35,,42
146491094,,,,1558,250,,125
146491095,,,,14,17,,0.6
146491096,10000,,,5003,214,,316
146491099,,,,602,16.05,,318
146491100,,,,109,57.5,,346
146491101,10000,,,1601,23,,209
146491105,,,,742,97,,137
146491106,,,,3199,13,,21
146491141,,,,38,31,,17
146491142,,,,186,25,,4.9
149722760,75,,,10,75,,
149731152,500,,,30,500,,
149747008,500,,,30,500,,
149829430,30,,,30,500,,
149839126,75,,,10,75,,
149839786,300,,,30,500,,
149948258,500,,,30,500,,
149962429,500,,,30,500,,
150035258,300,,,10,500,,
150065885,500,,,10,500,,
150076898,300,,,10,500,,
150178864,500,,,10,500,,
150241455,75,,,30,500,,
150281250,500,,,10,500,,
150351504,500,,,20,500,,
150353293,500,,,10,500,,
150405538,30,,,10,75,,
150422416,75,,,30,500,,
150462760,75,,,10,500,,
150464095,300,,,30,500,,
150485018,500,,,10,500,,
150492407,500,,,10,500,,
150519134,75,,,30,500,,
150617787,300,,,75,300,,
150636423,300,,,10,500,,
150643007,500,,,10,500,,
150712203,500,,,30,500,,
150734726,500,,,30,500,,
150739622,75,,,10,75,,
150745370,500,,,10,500,,
150785059,75,,,10,75,,
150847004,500,,,10,500,,
150930360,500,,,10,500,,
151016954,500,,,30,500,,
151074861,300,,,10,500,,
151077614,500,,,30,500,,
151102361,500,,,10,500,,
151137925,75,,,10,75,,
151162257,75,,,30,500,,
151168187,30,,,30,500,,
151424138,300,,,75,300,,
151429893,500,,,75,500,,
151453552,30,,,10,75,,
151467681,500,,,30,500,,
151483328,300,,,30,500,,
151587887,500,,,30,75,,
151604290,75,,,10,75,,
151664222,500,,,30,500,,
151673550,500,,,30,500,,
151675446,300,,,10,500,,
151680263,500,,,30,500,,
151698511,2023,,,479,26,,
151746871,500,,,10,500,,
151794386,75,,,30,500,,
151891462,30,,,30,75,,
151898530,75,,,30,500,,
151991053,500,,,10,75,,
152083923,500,,,75,500,,
152121487,500,,,10,500,,
152123874,500,,,30,500,,
152186108,300,,,30,300,,
152333305,300,,,10,500,,
152369255,75,,,30,500,,
152409252,300,,,75,300,,
152514161,75,,,300,300,,
152586810,500,,,30,500,,
152590287,75,,,10,500,,
152723702,500,,,10,500,,
152733656,300,,,30,500,,
153637658,500,,,30,500,,
153637659,287.5,,,30,500,,
153637662,300,,,30,500,,
153637666,500,,,30,500,,
153637675,500,,,30,500,,
153637676,500,,,30,500,,
153637679,500,,,30,500,,
153637680,500,,,75,500,,
153637682,500,,,30,500,,
153637683,500,,,10,500,,
153637684,500,,,10,500,,
153637686,500,,,30,500,,
153637687,75,,,30,500,,
153637695,75,,,30,500,,
153637704,500,,,30,500,,
153637707,500,,,30,500,,
153637709,500,,,30,500,,
153637710,500,,,30,500,,
153637711,30,,,10,75,,
153637714,300,,,10,500,,
153637720,500,,,30,500,,
153637721,500,,,10,500,,
153637722,500,,,30,500,,
153637727,500,,,75,500,,
153637728,75,,,30,500,,
153637730,500,,,30,500,,
153637731,500,,,10,500,,
153637732,75,,,10,75,,
153637741,500,,,10,500,,
153637749,500,,,30,500,,
153637750,500,,,30,500,,
153637751,500,,,10,500,,
153637753,500,,,30,500,,
153637762,500,,,75,500,,
153637766,500,,,75,500,,
153637772,500,,,30,500,,
153637773,300,,,10,500,,
153637774,500,,,30,500,,
