,d_avg-sim,d_avg-binding,d_n_neighbors,d_page_rank,d_features1,d_features2,d_features3,t_avg-sim,t_avg-binding,t_n_neighbors,t_page_rank,t_features1,t_features2,t_features3,Y
10026300|P0DMS8,0.3928503853513904,4.23507248563008,5.0,0.0024061653708591056,0.13731100773171068,3.811211071620631,0.6502064815896537,0.21856888652817302,5.203287357608836,0.0,0.14285714285714285,2.8437205148508653,0.49508365545575306,0.0,
10049758|P0DMS8,0.40087320232517476,4.28275818875971,3.0,0.0014306786354349966,0.13353808701849493,3.8680289301990607,0.652722925328643,0.21856888652817302,5.203287357608836,0.0,0.14285714285714285,2.8437205148508653,0.49508365545575306,0.0,
10108561|P0DMS8,0.4404772627101136,3.7286176014953236,7.0,0.0015581214871156976,0.19960919047100126,3.148510384580958,0.6146464260990632,0.21856888652817302,5.203287357608836,0.0,0.14285714285714285,2.8437205148508653,0.49508365545575306,0.0,
10131882|P0DMS8,0.42103385252097797,3.650627970960915,16.0,0.0016889039013697465,2.050573742414449,0.379994952298129,0.2015332546225238,0.21856888652817302,5.203287357608836,0.0,0.14285714285714285,2.8437205148508653,0.49508365545575306,0.0,
10153029|P0DMS8,0.46017492988982256,4.115349338487324,16.0,0.0016889039013697465,2.2389362143497893,0.100279035719736,0.6036725131436407,0.21856888652817302,5.203287357608836,0.0,0.14285714285714285,2.8437205148508653,0.49508365545575306,0.0,
10156654|P0DMS8,0.4176049295929089,3.7265980210880403,16.0,0.0016889039013696266,2.1797476128580606,0.3801110556432155,0.09958556601006821,0.21856888652817302,5.203287357608836,0.0,0.14285714285714285,2.8437205148508653,0.49508365545575306,0.0,
10196060|P0DMS8,0.45786798702660075,4.003464903729737,16.0,0.0016889039013696266,2.112624868702183,0.10669420076808242,0.6701804432733813,0.21856888652817302,5.203287357608836,0.0,0.14285714285714285,2.8437205148508653,0.49508365545575306,0.0,
10196517|P0DMS8,0.4616902320298198,3.996312107447156,16.0,0.0016889039013695038,2.1350785961553402,0.12533290910180367,0.6180271031530931,0.21856888652817302,5.203287357608836,0.0,0.14285714285714285,2.8437205148508653,0.49508365545575306,0.0,
10218183|P0DMS8,0.4555153955389609,4.095609037734569,16.0,0.001688903901369379,2.199003310193301,0.0766438144066565,0.6635460477247219,0.21856888652817302,5.203287357608836,0.0,0.14285714285714285,2.8437205148508653,0.49508365545575306,0.0,
10237847|P0DMS8,0.4307840708205211,4.138483441202909,16.0,0.0016889039013692514,2.2663456048192767,0.09073329756948406,0.5973481027243933,0.21856888652817302,5.203287357608836,0.0,0.14285714285714285,2.8437205148508653,0.49508365545575306,0.0,
10238677|P0DMS8,0.4454475595400882,4.107614788650953,16.0,0.0016889039013691218,2.2674395338059115,0.11257465765259447,0.5508064331046764,0.21856888652817302,5.203287357608836,0.0,0.14285714285714285,2.8437205148508653,0.49508365545575306,0.0,
10246054|P0DMS8,0.44209031747720534,3.7642417824097234,7.0,0.0015581214871156666,0.19813801715243273,3.1876854114907514,0.6159490385328688,0.21856888652817302,5.203287357608836,0.0,0.14285714285714285,2.8437205148508653,0.49508365545575306,0.0,
10288169|P0DMS8,0.4301674173224495,4.051239235136615,16.0,0.0016889039013689895,2.196551793553345,0.11756995819099188,0.5910544706781024,0.21856888652817302,5.203287357608836,0.0,0.14285714285714285,2.8437205148508653,0.49508365545575306,0.0,
