PubChem CID,Ligand SMILES
11311148,CCC[C@H](N1CCCC1)C(=O)c1ccc(C)cc1
11311204,CCCC(N1CCCC1)C(=O)c1ccc(O)cc1
11357862,CCCC(N1CCCC1)C(=O)c1ccc(cc1)[N+]([O-])=O
11430418,Nn1c(CCCCN2CCN(CC2)c2ccc3ccccc3n2)nc2CCCCc2c1=O
11470616,CCCC(N1CCCC1)C(=O)c1cccc(C)c1
11539020,COc1nccc2c1nc(-c1ccc(OC3CCN(CC3)C3CCC3)cc1)n(C)c2=O
11539632,CN(C)CCOc1cc(C)c2cc(NC(=O)COc3ccc(Cl)cc3Cl)ccc2n1
11551780,CCC(CC(=O)c1ccc(Cl)c(Cl)c1)N1CCCC1
11581337,Cn1c(nc2ccccc2c1=O)-c1ccc(OCCCN2CCCC2)cc1
11632103,CN(CCN1CCCCC1)C(=O)[C@H]1CC[C@@]2(CC1)OC(=O)c1ccccc21
11697697,Cc1nc2cccc(c2c(=O)n1-c1ccc(OCCCN2CCCC2)cc1)C(F)(F)F
11730467,Fc1ccc(cc1)C(CCCN1CCN(CC1)C(=O)CCCc1ccccc1)c1ccc(F)cc1
11743399,C[C@@H]1CN(Cc2ccc(F)cc2)CCN1C(=O)\C=C\c1ccc(Cl)cc1NC(C)=O
11794523,CCN1CCc2c(sc3ccccc23)C(C1)c1cccc(Br)c1
11811722,O=C1NCN(c2ccccc2)C11CCN(Cc2cccc(Oc3ccccc3)c2)CC1
11957735,CN(C)Cc1nc(-c2ccc(cc2)C(C)(C)C)n(n1)-c1cccc(O)c1
11973780,Cc1nc2cccc(c2c(=O)n1-c1ccc(OC2CCN(CC2)C2CCC2)cc1)C(F)(F)F
12128799,CCc1nc2n[nH]cc2c2nc(nn12)-c1ccccc1
12128800,CCCc1nc2n[nH]cc2c2nc(nn12)-c1ccccc1
12128801,CCCCc1nc2n[nH]cc2c2nc(nn12)-c1ccccc1
16038374,COc1cc(NC(=O)c2ccc(o2)-c2ccc(Cl)cc2)cc(OC)c1
16082828,Clc1ccc(CNCC[C@@H]2C[C@H]2c2cnc[nH]2)cc1
16082831,Clc1ccc(CNCC[C@H]2C[C@@H]2c2cnc[nH]2)cc1
16082833,C(C[C@H]1C[C@@H]1c1cnc[nH]1)NCC1CCCCC1
16718567,CN[C@@H]1CCN(C1)c1nc(N)nc2c3cc(Cl)ccc3oc12
17863158,CCCCc1nc2ccc(Cl)cc2c2nc(nn12)-c1ccc(Cl)cc1
17863209,CCCCc1nc2cc(Cl)ccc2c2nc(nn12)-c1ccccc1
17863210,CCCCc1nc2ccccc2c2nc(nn12)-c1ccccc1
19426635,CNCC1CC2N(O1)c1ccccc1Cc1ccccc21
19964406,C(Cc1ccccc1)C1CN(Cc2nc3ccccc3[nH]2)CCO1
23151209,Cc1nc2cccc(F)c2c(=O)n1-c1ccc(OC2CCN(CC2)C2CCC2)cc1
25099115,COc1ccc2c(c1)C(=O)O[C@]21CC[C@@H](CC1)C(=O)N(C)CCN1CCCCC1
25207803,CNc1cc2nc(NCc3cccnc3)nc(C(=O)c3cccs3)c2s1
25230881,CN(C)c1cc2nc(NCc3cccnc3)nc(C(=O)c3cccs3)c2s1
25230948,CCNc1cc2nc(NCc3cccnc3)nc(C(=O)c3cccs3)c2s1
25230949,Nc1cc2nc(NCc3cccnc3)nc(C(=O)c3cccs3)c2s1
25230950,C=Cc1cc2nc(NCc3cccnc3)nc(C(=O)c3cccs3)c2s1
25230951,CCc1cc2nc(NCc3cccnc3)nc(C(=O)c3cccs3)c2s1
25230952,O=C(c1cccs1)c1nc(NCc2cccnc2)nc2cc(NCc3cccnc3)sc12
27842480,COc1ccc(OCCN2CCN(CC2)C(=O)c2cc3ccccc3[nH]2)cc1
44190762,C[C@@H](Oc1cccc(Cn2c(C)c(C(=O)c3ccc(Cl)cc3)c3ccc(OC(F)(F)F)cc23)c1)C(O)=O
44250288,COc1cccc2c1O[C@H]([C@H](C)S2(=O)=O)c1ccc(OCCCN2CCCC2)cc1
44318454,CN(C)CC1CC2N(O1)c1cc(F)ccc1Cc1ccccc21
44318842,CN(C)CC1CC2N(O1)c1cc(C)ccc1Cc1ccccc21
44342270,Cc1ccc(CN2CCC(CC2)n2c3ccccc3[nH]c2=O)c(Cl)c1
44345317,CN(C)CC1CC2N(O1)c1ccccc1Cc1ncccc21
