PubChem CID,P0DMS8,P14416,P18901,P21728,P21917,P23977,P29274,P29275,P30542,P35462,P61169,Q60613
153637707,500,,,,,,500,30,500,,,
153637709,500,,,,,,30,30,500,,,
153637710,500,,,,,,500,30,500,,,
153637711,30,,,,,,300,10,75,,,
153637714,300,,,,,,10,10,500,,,
153637720,500,,,,,,500,30,500,,,
153637721,500,,,,,,300,10,500,,,
153637722,500,,,,,,500,30,500,,,
153637727,500,,,,,,500,75,500,,,
153637728,75,,,,,,500,30,500,,,
153637730,500,,,,,,300,30,500,,,
153637731,500,,,,,,300,10,500,,,
153637732,75,,,,,,75,10,75,,,
153637741,500,,,,,,300,10,500,,,
153637744,500,,,,,,300,,500,,,
153637749,500,,,,,,500,30,500,,,
153637750,500,,,,,,75,30,500,,,
153637751,500,,,,,,500,10,500,,,
153637753,500,,,,,,500,30,500,,,
153637762,500,,,,,,500,75,500,,,
153637766,500,,,,,,75,75,500,,,
153637772,500,,,,,,300,30,500,,,
153637773,300,,,,,,10,10,500,,,
153637774,500,,,,,,300,30,500,,,
153637779,500,,,,,,75,30,500,,,
153637782,75,,,,,,300,10,75,,,
153637786,75,,,,,,75,10,500,,,
153637788,500,,,,,,500,10,500,,,
153637790,500,,,,,,500,30,500,,,
153637795,500,,,,,,500,10,500,,,
153637796,500,,,,,,75,10,500,,,
153637798,75,,,,,,30,30,500,,,
153637799,500,,,,,,300,30,500,,,
153637803,500,,,,,,75,10,500,,,
153637804,500,,,,,,300,10,500,,,
153637805,500,,,,,,500,10,500,,,
153637808,75,,,,,,300,30,500,,,
153637814,500,,,,,,500,30,500,,,
153637815,500,,,,,,300,30,500,,,
153637816,75,,,,,,300,30,500,,,
153637817,500,,,,,,500,10,500,,,
153637818,500,,,,,,500,10,500,,,
153637819,75,,,,,,300,10,500,,,
153637820,500,,,,,,75,30,500,,,
153637821,75,,,,,,500,30,500,,,
153637826,500,,,,,,500,10,500,,,
153637827,75,,,,,,75,10,300,,,
153637832,300,,,,,,30,30,500,,,
153637835,500,,,,,,300,30,500,,,
153637836,500,,,,,,300,10,500,,,
153637837,10,,,,,,30,10,10,,,
153637838,500,,,,,,500,30,500,,,
153637843,500,,,,,,75,10,500,,,
153637845,75,,,,,,30,10,500,,,
153637846,500,,,,,,300,10,500,,,
153637847,500,,,,,,500,30,500,,,
153637849,500,,,,,,75,30,500,,,
153637851,500,,,,,,75,30,500,,,
153637852,500,,,,,,500,30,500,,,
153637857,500,,,,,,300,30,500,,,
153637858,75,,,,,,500,30,75,,,
153637862,500,,,,,,30,30,500,,,
153637871,500,,,,,,300,30,500,,,
153637872,500,,,,,,500,30,500,,,
153637873,500,,,,,,300,30,500,,,
153637875,500,,,,,,300,30,500,,,
153637876,500,,,,,,500,30,500,,,
153637885,75,,,,,,300,10,500,,,
153637886,500,,,,,,300,10,500,,,
153637887,75,,,,,,500,10,75,,,
153637889,500,,,,,,500,30,500,,,
153637891,500,,,,,,30,10,500,,,
153637892,300,,,,,,10,30,500,,,
153637893,75,,,,,,75,10,75,,,
153637898,500,,,,,,30,30,500,,,
155210437,5533.5,,,,,,3.15,46.35,19,,,4.9
155210441,,,,,,,10.25,48,16.2,,,11
155210450,,,,,,,27,5801,4046,,,90
155210502,,,,,,,39.65,83,40,,,48
155371223,,,,,,,0.8,14,11,,,1.2
155371229,,,,,,,0.1,4.8,11,,,0.4
155530763,,53813.5,,,5074,,,,,50000,,
156022971,,,,,,,0.1,71.6,11.8,,,1
156022974,,,,,,,0.5,416,54.6,,,32.7
156022975,,,,,,,0.5,473,34.5,,,27.7
162779409,500,,,,,,165,20,400,,,
162779411,30,,,,,,10,30,500,,,
162779426,500,,,,,,287.5,20,500,,,
162779429,75,,,,,,400,10,75,,,
162779475,30,,,,,,30,75,500,,,
162779484,300,,,,,,10,30,500,,,
162779488,500,,,,,,10,30,500,,,
162779497,300,,,,,,30,30,500,,,
163408067,500,,,,,,500,75,500,,,
163408069,75,,,,,,30,10,75,,,
163408070,500,,,,,,300,10,500,,,
163408071,75,,,,,,500,30,500,,,
163408072,75,,,,,,300,10,500,,,
