PubChem CID,P0DMS8,P14416,P18901,P21728,P21917,P23977,P29274,P29275,P30542,P35462,P61169,Q60613
18180076,,10000,,,10000,,,,,2102,,
19426635,,1698,,,302,,,,,339,,
19964406,,100000,,100000,360,,,,,31800,,
21186098,,250,,,8,,,,,320,,
21186102,,50,,,57,,,,,72,,
21186115,,25,,,5,,,,,8,,
21186124,,23,,,6,,,,,33,,
21186138,,60,,,7,,,,,300,,
21186143,,490,,,17,,,,,1100,,
21186148,,450,,,25,,,,,480,,
21186186,,49,,,4.5,,,,,59,,
21186192,,70,,,8,,,,,200,,
21186194,,360,,,16,,,,,710,,
23930365,,,63000,,,100000,,,,,500,
24894071,,10000,,,10000,,,,,10000,,
25207803,22.9,,,,,,620.9,2.45,57.6,,,
25230881,130.3,,,,,,867.65,22.75,19.4,,,
25230948,37.3,,,,,,1605.65,12.85,118.3,,,
25230949,233.1,,,,,,5700,19.55,1103.5,,,
25230950,746.7,,,,,,3750,52.3,161.3,,,
25230951,360.8,,,,,,3750,36.7,216,,,
25230952,308.3,,,,,,828.3,68.9,256.2,,,
27842480,,10000,,50000,50000,,,,,,,
44190762,,3550,,1530,,,,,,837,,
44250364,,10000,,,10000,,,,,10000,,
44251387,,10000,,,10000,,,,,10000,,
44251388,,10000,,,10000,,,,,10000,,
44251389,,10000,,,10000,,,,,10000,,
44304314,,2300,,,4800,,,,,4000,,
44318454,,36,,,14,,,,,14,1000,
44318842,,55,,,1000,,,,,1000,1000,
44342270,,480,,2740,1690,,,,,154,,
44345317,,1000,,,1000,,,,,1000,,
44359441,,,10000,,,3350,,,,,10000,
44413096,18950,,,,,,,75,140,,,
44413106,950,,,,,,,6,370,,,
44413113,21880,,,,,,,15,350,,,
44413182,38050,,,,,,,20,101,,,
44413192,7600,,,,,,,15,12,,,
44413202,14860,,,,,,,13,102,,,
44447994,,,100000,,,32000,,,,,100000,
44461606,,9550,,,,,,,,1000,1000,
44469321,8300,10000,,10000,,,30000,,,10000,,
44469677,1,10000,,10000,,,10000,,10000,,,
44559884,,,100000,,,100000,,,,,81600,
44559885,,,30000,,,100000,,,,,10000,
44631910,10000,,,,,,50000,50000,0.6,,,
45109862,,1071,,,1845,,,,,334,,
45278805,,2542,,,984,,,,,915,,
45278882,,3736,,,645,,,,,1072,,
45361874,,64456.5,,,840.5,,,,,88205,,
45482789,,1590,,4900,,,,,,660,,
46175652,,,,,,,50000,50000,16,,,
46175736,,,,,,,50000,50000,5.1,,,
46175737,,,,,,,50000,50000,8,,,
46175738,,,,,,,50000,50000,7.3,,,
46175914,,,,,,,50000,50000,277,,,
46176000,,,,,,,50000,50000,6.4,,,
46213946,,,,,,,28,77,2,,,
46238636,,,,,,,33,120,10,,,
46238684,,,,,,,33,145,15,,,
46238686,,,,,,,22,169,6,,,
46238694,,,,,,,333,111,11,,,
46238729,,,,,,,168,172,87,,,
46240228,,,,,,,41,206,13,,,
46830335,,10000,,,10000,,,,,10000,,
46830336,,10000,,,10000,,,,,10000,,
46842383,,10000,,,10000,,,,,10000,,
46866711,,10000,,,10000,,,,,1195,,
46884818,,10000,,,10000,,,,,10000,,
46884856,,10000,,,10000,,,,,10000,,
46884898,,10000,,,10000,,,,,10000,,
46885027,,10000,,,10000,,,,,10000,,
46885213,,10000,,,3800,,,,,10000,,
46934428,,10000,,,1000,,,,,248,,
49864289,,10000,,,10000,,,,,1426,,
49864292,,10000,,,10000,,,,,943,,
49864602,,10000,,,10000,,,,,2893,,
49864722,,10000,,,10000,,,,,2416,,
49864723,,10000,,,10000,,,,,2508,,
49864724,,10000,,,10000,,,,,1171,,
51003550,,136,,,10000,,,,,1520,,
51003551,,10000,,,5522,,,,,482,,
51003586,,1000,,,10000,,,,,623,,
52941478,,,,,,,50000,50000,435,,,
52946211,13000,,,,,,50000,50000,3.2,,,
52947525,,,,,,,5500,1100,2.8,,,
52948788,,,,,,,50000,19000,9,,,
52948995,,,,,,,50000,50000,13,,,
53320009,,10000,,,3613,,,,,1300,,
53320010,,10000,,,1789,,,,,2922,,
53322638,,1784,,,10000,,,,,180,,
54576142,,1369,,,10000,,,,,493,,
54577891,,908,,,3942,,,,,2189,,
60149678,,100000,,100000,180,,,,,46200,,
67548131,,,,,,,1000,368,537,,,
67548175,,,,,,,1000,146,399,,,
67548337,,,,,,,59,459,28,,,
67548392,,,,,,,86,94,61,,,
67548498,,,,,,,1000,1000,184,,,
67548720,,,,,,,434,263,5,,,
67548983,,,,,,,1000,1000,634,,,
67549056,,,,,,,1000,1000,1000,,,
67549086,,,,,,,105,90,31,,,
67549097,,,,,,,1000,1000,324,,,
67549451,,,,,,,1000,1000,59,,,
67549626,,,,,,,1000,1000,1000,,,
67549879,,,,,,,1000,95,1000,,,
68405754,,,,,,,1000,1000,71,,,
68405874,,,,,,,1000,1000,81,,,
68405927,,,,,,,1000,268,1000,,,
72548703,0.17,1.8,,0.21,,,9.2,,0.61,,,
72737728,,16500,,,170,,,,,8170,,
92640710,,100000,,100000,100000,,,,,76400,,
109030343,,53533.5,,,1357.5,,,,,50000,,
109030515,,55923.5,,,1275,,,,,50000,,
118016229,6700,,,,,,820,62.5,1300,,,470
118708234,,,,,,,423,432,43,,,
118714552,,16500,,,100,,,,,8170,,
127034966,5012,5012,,5012,,,5012,,,,,
127034967,5012,5012,,5012,,,5012,,,,,
127046050,,,,,,,6.4,293,134,,,
127046493,,,,,,,6.2,512,106,,,
129103318,,9,,366,,,,,,26,,
134814207,,,,,,,270,222,17,,,
135156251,,10000,,10000,,,10000,,,,,
137538548,500,,,,,,300,10,500,,,
137538569,500,,,,,,500,30,500,,,
137538576,500,,,,,,300,30,500,,,
137538578,500,,,,,,500,30,500,,,
137538587,500,,,,,,300,10,500,,,
137538613,75,,,,,,300,10,500,,,
137538620,500,,,,,,500,10,500,,,
137538663,500,,,,,,300,10,500,,,
137538676,500,,,,,,500,30,75,,,
137538682,500,,,,,,500,30,500,,,
137538697,500,,,,,,75,10,500,,,
137538707,500,,,,,,30,30,500,,,
137538724,500,,,,,,30,500,500,,,
137538726,500,,,,,,300,30,300,,,
137538728,500,,,,,,75,30,500,,,
137538729,75,,,,,,30,10,75,,,
137538730,500,,,,,,30,30,500,,,
137538737,500,,,,,,300,30,500,,,
137538752,300,,,,,,30,30,500,,,
137538767,500,,,,,,500,30,500,,,
137538770,500,,,,,,500,30,500,,,
137538787,500,,,,,,75,30,500,,,
137538795,500,,,,,,500,30,500,,,
137538808,500,,,,,,500,30,500,,,
137538813,300,,,,,,30,30,500,,,
137538814,30,,,,,,10,30,500,,,
137538815,500,,,,,,75,30,500,,,
137538816,75,,,,,,10,30,500,,,
137538901,30,,,,,,10,30,500,,,
137538937,75,,,,,,30,300,300,,,
137538958,75,,,,,,75,10,75,,,
137538980,500,,,,,,300,30,500,,,
137538982,500,,,,,,500,30,500,,,
137538998,500,,,,,,300,30,500,,,
137539000,500,,,,,,300,30,500,,,
137539009,500,,,,,,300,30,500,,,
137539011,500,,,,,,400,20,500,,,
137539021,500,,,,,,75,10,500,,,
137539027,75,,,,,,300,10,75,,,
137539043,500,,,,,,300,10,500,,,
137539051,75,,,,,,300,10,500,,,
137539065,30,,,,,,300,10,500,,,
137539075,500,,,,,,300,10,500,,,
137539077,75,,,,,,30,10,75,,,
137539080,75,,,,,,75,10,75,,,
137539137,500,,,,,,500,30,500,,,
137539146,500,,,,,,300,10,500,,,
137539151,500,,,,,,500,30,500,,,
137539156,500,,,,,,300,30,500,,,
137539158,300,,,,,,30,30,300,,,
137539163,500,,,,,,300,10,500,,,
137539164,300,,,,,,30,10,500,,,
137539173,500,,,,,,300,30,500,,,
137539188,500,,,,,,30,10,500,,,
137539191,10,,,,,,75,30,500,,,
137539194,500,,,,,,30,10,500,,,
137539199,300,,,,,,30,30,500,,,
137539207,500,,,,,,30,30,500,,,
137539224,500,,,,,,300,10,500,,,
137539228,500,,,,,,75,10,300,,,
137539229,300,,,,,,10,10,500,,,
137539240,75,,,,,,300,10,500,,,
137539250,300,,,,,,10,30,500,,,
137539253,500,,,,,,75,30,500,,,
137539262,500,,,,,,300,10,500,,,
137539269,75,,,,,,300,10,500,,,
137539278,500,,,,,,500,30,500,,,
137539284,300,,,,,,10,10,500,,,
137539292,500,,,,,,500,30,500,,,
137539293,500,,,,,,300,10,500,,,
137539297,75,,,,,,30,10,500,,,
137539301,500,,,,,,300,30,500,,,
137539305,500,,,,,,500,30,500,,,
137539306,30,,,,,,10,30,300,,,
137539311,500,,,,,,500,30,500,,,
137539329,500,,,,,,500,10,500,,,
137539338,500,,,,,,500,30,500,,,
137539341,75,,,,,,300,10,500,,,
137539342,75,,,,,,300,10,500,,,
137539347,500,,,,,,300,10,500,,,
137539351,75,,,,,,30,75,500,,,
137539362,500,,,,,,75,10,500,,,
137539382,300,,,,,,30,10,500,,,
137539384,300,,,,,,30,10,500,,,
137539391,75,,,,,,300,10,500,,,
137539397,500,,,,,,30,30,500,,,
137539398,30,,,,,,10,30,500,,,
137539409,500,,,,,,300,10,500,,,
137539417,500,,,,,,30,30,500,,,
137539422,500,,,,,,300,10,500,,,
137539440,500,,,,,,400,10,500,,,
137539459,500,,,,,,30,10,75,,,
137539465,500,,,,,,500,30,500,,,
137539475,500,,,,,,300,10,500,,,
137539478,500,,,,,,30,30,500,,,
137539482,500,,,,,,500,30,500,,,
137539485,75,,,,,,500,10,500,,,
137539488,75,,,,,,30,30,500,,,
137539492,500,,,,,,75,30,75,,,
137539494,300,,,,,,10,10,500,,,
137539501,500,,,,,,300,10,500,,,
137539504,300,,,,,,30,10,500,,,
137539510,30,,,,,,300,30,500,,,
137539512,300,,,,,,10,10,500,,,
137539513,500,,,,,,300,10,500,,,
137539525,300,,,,,,10,30,500,,,
137539530,500,,,,,,75,10,500,,,
137539546,500,,,,,,300,10,500,,,
137539549,75,,,,,,75,30,75,,,
137539559,75,,,,,,30,10,500,,,
137539564,75,,,,,,30,30,500,,,
137539573,500,,,,,,300,10,500,,,
137539575,30,,,,,,10,10,500,,,
137539590,500,,,,,,500,30,500,,,
137539591,500,,,,,,300,10,500,,,
137539592,500,,,,,,500,10,500,,,
137539627,500,,,,,,30,10,500,,,
137539632,500,,,,,,500,75,500,,,
137539644,500,,,,,,300,30,500,,,
137539649,300,,,,,,30,30,500,,,
137539653,75,,,,,,500,30,500,,,
137539654,300,,,,,,10,10,500,,,
137539655,300,,,,,,10,10,500,,,
137539656,75,,,,,,300,10,500,,,
137539657,300,,,,,,30,30,500,,,
137539674,500,,,,,,300,10,500,,,
137539689,500,,,,,,300,30,500,,,
137539697,75,,,,,,500,30,500,,,
137539709,75,,,,,,30,10,75,,,
137539717,500,,,,,,500,30,500,,,
137539728,500,,,,,,75,10,500,,,
137539730,500,,,,,,30,10,500,,,
137539740,500,,,,,,500,30,500,,,
137539744,75,,,,,,75,10,75,,,
137539745,75,,,,,,75,10,500,,,
137539748,500,,,,,,300,30,500,,,
137539762,300,,,,,,30,30,500,,,
137539777,500,,,,,,300,30,500,,,
137539780,300,,,,,,10,30,500,,,
137539783,300,,,,,,30,30,500,,,
142426965,2,,,,,,0.07,,18,,,
142426967,104,,,,,,0.52,,66,,,
142426971,104,,,,,,3.05,884,1009,,,
142426979,5,,,,,,0.16,,16,,,
142426985,104,,,,,,1.04,78.2,222,,,
142426988,104,,,,,,0.15,,102,,,
142426991,104,,,,,,2.33,522,519,,,
142426996,1.4,,,,,,0.09,,12,,,
142426997,104,,,,,,2.59,209,302,,,
142427004,104,,,,,,0.75,793,409,,,
142427006,104,,,,,,0.48,,41,,,
142427011,104,,,,,,0.5,,71,,,
142427013,104,,,,,,0.08,82.6,37,,,
142427017,104,,,,,,0.36,,418,,,
142427021,104,,,,,,1.68,112,248,,,
142427022,104,,,,,,0.96,85.4,173,,,
142540038,500,,,,,,300,30,500,,,
142540044,10,,,,,,500,30,10,,,
142540051,75,,,,,,300,10,500,,,
142540063,75,,,,,,30,30,500,,,
142540095,500,,,,,,300,10,500,,,
142540098,500,,,,,,75,10,500,,,
142540105,500,,,,,,500,10,500,,,
142540109,500,,,,,,500,30,500,,,
142540138,500,,,,,,30,10,500,,,
142540146,500,,,,,,300,10,500,,,
142540160,500,,,,,,300,30,500,,,
142540164,500,,,,,,300,30,500,,,
142540173,500,,,,,,75,10,500,,,
142540184,500,,,,,,500,30,500,,,
142540187,75,,,,,,30,10,30,,,
142540208,500,,,,,,75,10,500,,,
142540213,500,,,,,,300,10,500,,,
142540223,500,,,,,,500,10,500,,,
142540225,500,,,,,,75,30,500,,,
142540238,10,,,,,,30,10,10,,,
142540244,500,,,,,,300,10,500,,,
142540248,75,,,,,,300,30,75,,,
142540251,75,,,,,,300,10,75,,,
142540253,500,,,,,,300,30,500,,,
142540265,500,,,,,,300,75,500,,,
142540362,500,,,,,,30,30,500,,,
142540368,500,,,,,,300,30,500,,,
142540381,500,,,,,,500,30,500,,,
142540385,75,,,,,,75,10,75,,,
142540387,75,,,,,,300,10,500,,,
142540389,75,,,,,,300,30,500,,,
142540399,500,,,,,,30,30,500,,,
142540419,300,,,,,,30,30,500,,,
142540438,500,,,,,,300,10,500,,,
142540473,500,,,,,,30,10,500,,,
142540480,300,,,,,,30,10,500,,,
142540499,75,,,,,,300,10,75,,,
145960813,,,,,,,39.5,72,51,,,
145962202,,,,,,,57,2387,37,,,
145962355,,,,,,,6.45,2622,13,,,
145962529,,,,,,,92.5,134,107,,,
146443662,,,,,,,4.05,12,8,,,7.3
146443751,,,,,,,3.7,241,27,,,8.9
146443757,,,,,,,120,399,76,,,219
146490611,,,,,,,25,2909,2643,,,63
146490612,,,,,,,60,10000,2724,,,428
146490613,,,,,,,0.7,47,110,,,2.6
146490614,,,,,,,18,10000,923,,,76
146490615,10000,,,,,,34,219,9.7,,,78
146490617,,,,,,,2.6,121,27.2,,,11.2
146490619,,,,,,,8.2,203,6.6,,,58.1
