PubChem CID,Ligand SMILES
10131882,CCCCc1nc2ccc(Cl)cc2c2nc(nn12)-c1ccccc1
10153029,CCCn1c2cc([nH]c2c(=O)n(CCC)c1=O)-c1ccc(cc1)S(=O)(=O)NC1CCN(Cc2ccccc2)CC1
10156654,CCCCc1nc2ccccc2c2nc(nn12)-c1ccc(Br)cc1
10196060,Cn1c2cc([nH]c2c(=O)n(C)c1=O)-c1ccc(cc1)S(=O)(=O)N1CCN(Cc2cccc(F)c2)CC1
10196517,CCn1c2cc([nH]c2c(=O)n(CC)c1=O)-c1ccc(cc1)S(=O)(=O)NC1CCN(Cc2ccc(F)cc2)CC1
10218183,Cn1c2cc([nH]c2c(=O)n(C)c1=O)-c1ccc(cc1)S(=O)(=O)N1CCN(Cc2ccc(Cl)s2)CC1
10237847,Cn1c2cc([nH]c2c(=O)n(C)c1=O)-c1ccc(cc1)S(=O)(=O)Nc1ccccn1
10238677,CCCn1c(=O)n(C)c2cc([nH]c2c1=O)-c1ccc(cc1)S(=O)(=O)NCCc1ccccn1
10246054,CN(C)CC1CC2N(O1)c1cc(F)ccc1Cc1ccc(F)cc21
10288169,Cn1c2cc([nH]c2c(=O)n(C)c1=O)-c1ccc(cc1)S(=O)(=O)NCCc1ccccn1
10288197,COc1ccc(NS(=O)(=O)c2ccc(cc2)-c2cc3n(C)c(=O)n(C)c(=O)c3[nH]2)cn1
10310578,Cn1c2cc([nH]c2c(=O)n(C)c1=O)-c1ccc(cc1)S(=O)(=O)NCCOc1ccccn1
10311222,Cn1c2cc([nH]c2c(=O)n(C)c1=O)-c1ccc(cc1)S(=O)(=O)N1CCN(Cc2ccccc2)CC1
10320519,OCCN1CCN(CC1)C1CC(c2ccc(F)cc12)c1ccc(F)cc1
10333685,CN1CCc2c([nH]c3ccccc23)C(C1)c1ccccc1
10381889,CN(C)CC1CC2N(O1)c1cc(Cl)ccc1Cc1ccccc21
10385977,COc1cccc2C(CCCN3CCN(CC3)c3ccccc3OC)CCCc12
10393931,COc1cc2CCN(C)[C@H]3Cc4ccc(OC)c(c4)-c4cc(C[C@H]5N(C)CCc6cc(OC)c(Oc(c1O)c23)cc56)ccc4O
10400783,C([C@@H]1NCCc2cc3OCOc3cc12)c1ccccc1
10412646,CN1CCN(CC1)C1=Nc2cc(Cl)ccc2Nc2ccc(OS(=O)(=O)C(F)(F)F)cc12
10425450,Cc1cccc(NC(=O)CN2CCC(CC2)c2ccccn2)c1
10450082,C(N1CCN(CC1)c1ncccn1)c1cccc-2c1Cc1ccccc-21
10518133,CCCN1CCc2cc(O)c(O)cc2[C@H]1Cc1ccccc1
10571551,CCN1CCc2c(sc3ccccc23)C(C1)c1ccc(Cl)c(Cl)c1
10582557,CCCN1CCc2cc3OCOc3cc2[C@@H]1Cc1ccccc1
10596380,CN1CCN(CC1)C1=Nc2ccccc2Oc2ccc(OS(C)(=O)=O)cc12
10712993,CCN1CCc2c(sc3ccccc23)C(C1)c1cccc(c1)[N+]([O-])=O
10732779,CCCN1CCc2cc(O)c(O)cc2[C@@H]1Cc1ccccc1
10825736,C([C@H]1NCCc2cc3OCOc3cc12)c1ccccc1
10852400,CCCN1CCc2cc3OCOc3cc2[C@H]1Cc1ccccc1
10885636,Fc1ccc(cc1)C(CCCN1CCN(CC1)C(=O)OCCc1ccc(cc1)C#N)c1ccc(F)cc1
10907460,CCOc1ccc(CCNC(=O)N2CCN(CCCC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1
10948527,O=C1NCN(c2ccccc2)C11CCN(Cc2ccc3OCOc3c2)CC1
10981761,O=C1NCN(c2ccccc2)C11CCN(Cc2ccc3nsnc3c2)CC1
11005810,Fc1ccc(cc1)C(CCCN1CCC(CC1)NC(=O)OCCc1ccc(cc1)C#N)c1ccc(F)cc1
11046842,CCCCc1nc2nc[nH]c2c2nc(nn12)-c1ccc(cc1)-c1ccccc1
11059058,Clc1cc2OCOc2cc1COC(=O)N1CCC(CC1)n1c2ccccc2[nH]c1=O
11071079,Fc1ccc(CCOC(=O)N2CCN(CCCC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1
11099480,COc1ccc2C[C@@H]3N(C)CCc4ccc(OC)c(Oc2c1O)c34
