PubChem CID,P0DMS8,P9WID5,P09172,P14416,P15101,P18901,P19020,P20288,P21728,P21917,P21918,P22102,P23977,P25021,P25099,P27922,P28190,P29274,P29275,P29276,P30542,P30543,P31389,P31390,P32298,P34947,P35367,P35462,P43249,P43250,P46093,P47745,P47747,P49892,P55263,P61168,P61169,Q4KLH9,Q8BUD0,Q9GJT6,Q9H3N8,Q9JI35,Q9QYN8,Q9Y5N1,Q91ZY2,Q96NT5,Q01959,Q05754,Q60612,Q60613,Q60614,Q61327,Q61616,Q64640,Q64737,Q95136
60795,,,,11,,,37.9,,,,,,,,,,,,,,,,,3000,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68551,,,,7079,,,,,,3311,,,,,,,,,,,,,,0.006,,,3.4,3890,,,,,2340,,,,3548,,,,,,,,,,,,,,,,,,,
71360,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,750,,,
100231,,,,,,39100,,,,,,,3900,,,,,,,,,,,,,,,,,,,,,,,,28400,,,,,,,,,,,,,,,,,,,
108046,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2431,5665,,,,,,,,,,,,,,,,,,,
119570,,,,10000,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2575,,,,,,,,,,,,,,,,,,,
121852,,,,10,,,,15,39811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000
126941,,,,,,,,,,,,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,,,,,,,,,20000,
133381,,,,,,4800,,,,,,,1400,,,,,,,,,,,,,,,,,,,,,,,,27000,,,,,,,,,,,,,,,,,,,
146009,,,,,,10000,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,
146299,,,,,,60,,,,,,,100000,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,
159034,,,,,,1000,,,,,,,55000,,,,,,,,,,,,,,,,,,,,,,,,1500,,,,,,,,,,,,,,,,,,,
160597,,,,,,68000,,,,,,,800,,,,,,,,,,,,,,,,,,,,,,,,19000,,,,,,,,,,,,,,,,,,,
164710,,,,,,36000,,,,,,,8100,,,,,,,,,,,,,,,,,,,,,,,,15000,,,,,,,,,,,,,,,,,,,
