PubChem CID,P0DMS8,P14416,P18901,P19020,P20288,P21728,P21917,P21918,P23977,P25021,P25099,P29274,P29275,P30542,P30543,P31390,P35367,P35462,P46093,P47745,P47747,P61168,P61169,Q4KLH9,Q8BUD0,Q9H3N8,Q9QYN8,Q9Y5N1,Q01959,Q60613,Q95136
11311204,,10000,,,,10000,,,,,,,,,,,,10000,,,,,,,,,,,49.7,,
11357862,,10000,,,,10000,,,,,,,,,,,,10000,,,,,,,,,,,1110,,
11430418,1000,100,,,,1000,,,,1000,,1000,,1000,,,1000,,,,,,,,,,,,1000,,
11470616,,10000,,,,10000,,,,,,,,,,,,10000,,,,,,,,,,,62.9,,
11539020,,,,,,,,,,10000,,,,,,,10000,,,,,,,,,10000,,0.31,,,
11539632,,,,,,7.5,,,,0.87,,,,,,,3.5,1.3,,,,,,,,,,,10,,
11551780,,10000,,,,10000,,,,,,,,,,,,10000,,,,,,,,,,,10000,,
11581337,,,,,,,,,,10000,,,,,,,10000,,,,,,,,,10000,,0.68,,,
11632103,,,,,,,,,,10000,,,,,,,10000,,,,,,,,,10000,,0.72,,,
11697697,,,,,,,,,,10000,,,,,,,10000,,,,,,,,,10000,,1.7,,,
11730467,,,,,,2750,280,1860,,1980,,,,,,,1930,758,,,,,,,,,,,954,,
11743399,,1000,,,,1000,1000,,,,,,,,,,,1000,,,,,,,,,,,,,
11794523,,,5000,2000,,,,,210,,,,,,,,,,,,,,3500,,,,,,,,
11811722,,538,,,,,,,,,,,,,,,496,149,,,,,,,,,,,2250,,
11957735,,10000,,,,10000,,10000,,10000,,,,,,,10000,,,,,,,,,10000,,,10000,,
11973780,,,,,,,,,,10000,,,,,,,10000,,,,,,,,,10000,,0.33,,,
12128799,6.2,,,,,,,,,,,310,100,27,,,,,,,,,,,,,,,,,
12128800,4.1,,,,,,,,,,,120,1500,38,,,,,,,,,,,,,,,,,
12128801,2.1,,,,,,,,,,,190,2600,27,,,,,,,,,,,,,,,,,
16038374,12000,10000,,,,2000,,10000,,10000,,10000,,10000,,,10000,10000,,,,,,,,,,,,,
16082828,,,,,,,,,,10000,,,,,,,6800,,,,,,,,,110,,17,,,
16082831,,,,,,,,,,10000,,,,,,,8500,,,,,,,,,860,,8.5,,,
16082833,,,,,,,,,,10000,,,,,,,10000,,,,,,,,,1500,,37,,,
16718567,,,,,,,,,,30000,,,,,,,30000,,,,,,,,,1,,5800,,,
17863158,28,,,,,,,,,,,10000,10000,10000,,,,,,,,,,,,,,,,,
17863209,48,,,,,,,,,,,10000,10000,10000,,,,,,,,,,,,,,,,,
17863210,260,,,,,,,,,,,10000,10000,2600,,,,,,,,,,,,,,,,,
19426635,,1698,,,,,302,,,,,,,,,,11,339,,,,,,,,,,,,,
19964406,,100000,,,,100000,360,,,,,,,,,,,31800,,,,,,,,,,,,,
23151209,,,,,,,,,,10000,,,,,,,10000,,,,,,,,,10000,,0.55,,,
25099115,,,,,,,,,,10000,,,,,,,10000,,,,,,,,,10000,,0.54,,,
25207803,22.9,,,,,,,,,,,276.8,1.4,57.6,,,,,,,,,,,,,,,,,
25230881,130.3,,,,,,,,,,,318.3,6.5,19.4,,,,,,,,,,,,,,,,,
25230948,37.3,,,,,,,,,,,726.3,6.7,118.3,,,,,,,,,,,,,,,,,
25230949,233.1,,,,,,,,,,,1400,7.1,1103.5,,,,,,,,,,,,,,,,,
25230950,746.7,,,,,,,,,,,3750,52.3,161.3,,,,,,,,,,,,,,,,,
25230951,360.8,,,,,,,,,,,3750,36.7,216,,,,,,,,,,,,,,,,,
25230952,308.3,,,,,,,,,,,828.3,68.9,256.2,,,,,,,,,,,,,,,,,
27842480,,10000,,,,50000,50000,50000,,,,,,,,,,,,,,,,,,,,,,,
44190762,,3550,,,,1530,,,,,,,,,,,,837,,,,,,,,,,,3410,,
44250288,,,,,,,,,,10000,,,,,,,10000,,,,,,,,,10000,,0.39,,,
44318454,,36,,,,,14,,,,,,,,,,2.6,14,,,,,1000,,,,,,,,
44318842,,55,,,,,1000,,,,,,,,,,5.9,1000,,,,,1000,,,,,,,,
44342270,,480,,,,2740,1690,,,,,,,,,,,154,,,,,,,,,,,,,
44345317,,1000,,,,,1000,,,,,,,,,,17,1000,,,,,,,,,,,,,
44359441,,,10000,10000,,,,,3350,,,,,,,,,,,,,,10000,,,,,,,,
44461606,,9550,,,,,,,,,,,,,,,83,1000,,,,,1000,,,,,,,,
44469273,,,,,,,,,,5000,,5000,,,,,5000,,,,,,,,,5000,,5000,,,
44469321,8300,10000,,,,10000,,,,10000,,30000,,,,,10000,10000,,,,,,,,,,10000,10000,,
44469677,1,10000,,,,10000,,,,10000,,10000,,10000,,,10000,,,,,,,,,,,,10000,,
44631910,10000,,,,,,,,,,,50000,50000,0.6,,,,,,,,,,,,,,,,,
45487384,,,,,,,,,,5000,,5000,,,,,5000,,,,,,,,,5000,,5000,,,
52946211,13000,,,,,,,,,,,50000,50000,3.2,,,,,,,,,,,,,,,,,
57970302,,,,,,,,,,,,,,,,,,,55,,,,,800,1290,,,930,,,
60149678,,100000,,,,100000,180,,,,,,,,,,,46200,,,,,,,,,,,,,
68379135,,,,,,,,,,,,,,,,,,,67,,,,,1840,530,,,30000,,,
72548703,0.17,1.8,,,,0.21,,,,142,,9.2,,0.61,,,1.7,,,,,,,,,,,,4.9,,
92640710,,100000,,,,100000,100000,,,,,,,,,,,76400,,,,,,,,,,,,,
